text,actionable
Лабораторная №2:\nИСРПО\nдата — 11.4,1
Досдача Типовой расчет №4:\nдата — 16.10\nинстр. средства разработки ПО,1
Защита Лаб. работа:\nДата: 27.03 (основной период)\nоп,1
отмена лабораторная по аглосы в это воскресенье,0
отмена типовой расчёт по исрпо 20.10,0
Лаб. работа:\nДата: 21.12\nИСРПО,1
Досдача Типовик №1 по дисциплине аглосы (АСД) | дата : 3.3,1
перенос коллоквиум по основы проги на завтра,0
Досдача Коллоквиум №3 и №4 по дисциплине ИСРПО — дата : 13.02,1
Сегодня  будет запись на защиту типовой расчет по дискретная мат.,0
Лаба:\nДата : 10.04 (досдача)\nоп,1
перенос типовик по ОП на завтра,0
Защита Лаба №3:\nИнструментальные средства разработки ПО\nДата - 5.9,1
переносится лаб. работа по исрпо на след. неделю,0
Лабораторные №4:\nаглосы (АСД)\nДата : 01.11,1
Лабораторная работа\nДата — 25.11 (досдача)\nалгоритмы и структуры,1
Коллоквиум №4\nОсновы программирования\nДата: 23.11,1
Лабораторные:\nдата: 15.9\nдискретка,1
Лаб. работа №3 по Дискретная математика: дата - 8.11 (досдача),1
перенос по расписанию коллок. по дискретка ДМ на 20.10,0
отмена лабораторная работа по оп в это воскресенье,0
Досдача Лаб. работа\nИСРПО\nдата : 3.5,1
перенос типовой расчёт по дискретная мат. на 22.10,0
На следующей неделе  запись откроется лаба по АиСД,0
Коллок. №2 дискретная мат. | дата — 8.3 (досдача),1
Отмена типовой расчет по дискретная мат. сегодня,0
на следующей неделе  будет запись на защиту коллок по оп,0
переносится типовые расчёты по Инструментальные средства разработки ПО на завтра,0
Коллок. №4 и №5:\nаглосы\nдата — 3.10 (досрок),1
Отмена лаб. работа по основы проги 20.10,0
Лаба №2:\nалгоритмы и структуры\nдата: 17.12,1
Типовые расчёты:\nДата : 25.2\nИСРПО,1
Лабораторная работа:\nДата — 07.09\nАлгоритмы и структуры данных,1
Отмена лабораторная работа по исрпо 20.10,0
Отмена лаб. работа по дискретная 20.10,0
Лабораторная №4 по исрпо: дата: 14.9,1
перенос лабораторные по Инструментальные средства разработки ПО на 20.10,0
Лаб. работа - Алгоритмы и структуры данных - дата — 22.3,1
Лабораторная:\nАСД\nДата — 03.03,1
Коллок №4 и №5:\nДата — 26.4 (досрок)\nисрпо,1
Сегодня в 15:00 начнётся запись на сдачу коллок по Основы программирования,0
Сегодня  будет запись типовые расчеты по Основы программирования,0
Отмена лабораторная по Основы программирования сегодня,0
Типовые расчеты №4 и №5:\nинстр. средства разработки ПО\nДата — 06.12 (досдача),1
Отмена типовик по аглосы (АСД) в это воскресенье,0
Типовые расчёты №1:\nдата : 14.10\nОсновы программирования,1
Завтра  начнётся запись на сдачу типовик по АиСД,0
Коллоквиум:\nинстр. средства разработки ПО\nДата : 14.04,1
Типовые расчёты:\nинстр. средства разработки ПО\nДата — 24.09,1
Досдача Лаба №3:\nИСРПО\nДата : 17.10,1
Типовые расчёты №1 и №2\nДата: 02.02\nисрпо,1
Завтра в 10:00 запись откроется на сдачу лабораторная работа по инстр. средства разработки ПО,0
Типовой расчет №4:\nДата: 14.02\nОсновы программирования,1
Отмена лабораторные по оп 20.10,0
Коллоквиум\nДата: 06.05\nисрпо,1
Коллок:\nосновы проги\nДата : 27.02,1
переносится лаб. работа по АСД на 20.10,0
Сегодня в 15:00 будет запись на защиту лабораторные по Алгоритмы и структуры данных,0
Лабораторная работа:\nДата: 20.12 (основной период)\nИСРПО,1
Лабораторная работа №2 по основы проги: дата — 18.09,1
Типовики №2\nДата — 10.4 (досдача)\nОсновы программирования,1
Коллок:\nДата — 07.11 (досдача),1
Лабораторные №1 по дискретка - дата: 20.10 (досрок),1
На следующей неделе в 9:00 начнётся запись на защиту лабораторная по АСД,0
Лабораторная работа №4:\nОсновы программирования\nДата — 04.09 (основной период),1
Защита Типовик:\nИСРПО\nДата — 12.01 (досдача),1
Типовые расчеты:\nИнструментальные средства разработки ПО\nДата — 25.10,1
Лабораторные:\nдата — 10.04\nалгоритмы и структуры,1
Лаб. работа №1 по дисциплине Инструментальные средства разработки ПО — дата - 11.2,1
Лабораторные:\nДата : 19.1,1
отмена лабораторная по оп 20.10,0
Лаб. работа:\nдискретная\nдата - 24.02 (основной период),1
Типовые расчёты №1 и №3 ОП - дата : 26.10 (основной период),1
Коллоквиум:\nДата — 04.10\nАлгоритмы и структуры данных,1
перенос по расписанию лаба по аглосы (АСД) на след. неделю,0
перенос лабораторная по дискретная мат. на след. неделю,0
на следующей неделе в 10:00 запись откроется на защиту лабораторные по аглосы (асд),0
На следующей неделе в 10:00 начнётся запись на сдачу лаб. работа по ИСРПО,0
Сегодня в 9:00 будет запись на пересдачу типовой расчет по инстр. средства разработки ПО,0
Типовые расчёты №1 - дискретная мат. - дата: 23.5 (основной период),1
переносится лабораторные по оп на завтра,0
перенос лаб. работа по основы проги на след. неделю,0
Лабораторные №4 и №6 по Основы программирования: дата — 3.11,1
Коллок №3:\nДата : 4.11\nИнструментальные средства разработки ПО,1
Лаба:\nДискретная математика\nДата: 19.11,1
Коллоквиум по Инструментальные средства разработки ПО — дата: 18.12 (досдача),1
Коллок. №2:\nоп\nДата - 28.10,1
Отмена коллок. по дискретная мат. в это воскресенье,0
на следующей неделе в 9:00 запись откроется коллок. по дискретная математика,0
переносится коллоквиум по оп на 03.11,0
перенос лабораторная работа по дискретная математика на завтра,0
завтра в 10:00 будет запись на сдачу лабораторная по аглосы,0
Лаба - алгоритмы и структуры | дата : 11.03 (досрок),1
переносится типовые расчеты по основы проги на 20.10,0
Сегодня  будет запись типовой расчет по ДМ,0
Завтра в 10:00 откроется запись лабораторная по ИСРПО,0
сегодня в 9:00 откроется запись на сдачу коллок. по оп,0
перенос по расписанию коллоквиум по инстр. средства разработки ПО на 22.10,0
Коллок.:\nаглосы (АСД)\nДата: 14.12,1
Защита Типовой расчёт по Алгоритмы и структуры данных — дата : 04.10,1
переносится типовые расчеты по ИСРПО на завтра,0
отмена типовые расчеты по основы программирования сегодня,0
Лабораторная работа №2 - Алгоритмы и структуры данных | дата: 24.04,1
Отмена лабораторная по дискретка ДМ 20.10,0
отмена коллок. по дискретная в это воскресенье,0
Коллок №2:\nдата : 22.04 (основной период)\nдискретка ДМ,1
На следующей неделе в 15:00 запись откроется на защиту лабораторные по оп,0
переносится лаб. работа по дискретка дм на 20.10,0
Лабораторная №2 по дисциплине Основы программирования: дата: 12.12,1
перенос лабораторная работа по инстр. средства разработки ПО на 20.10,0
Лабораторная работа №4:\nДата: 18.2\nДМ,1
завтра  начнётся запись на защиту лабораторная по основы программирования,0
Защита Типовой расчет №2:\nДата: 26.3\nаглосы,1
Сегодня  начнётся запись на сдачу лаба по АСД,0
Типовой расчёт:\nДата — 27.12\nаглосы (АСД),1
Типовик:\nдата — 15.05,1
На следующей неделе в 15:00 запись откроется на пересдачу коллок. по оп,0
Лабораторная работа №1:\nДата: 10.01\nАлгоритмы и структуры данных,1
Коллоквиум:\nДата : 08.05 (досдача)\nдискретная мат.,1
перенос коллоквиум по Основы программирования на 03.11,0
Лаба №4 и №6:\nИнструментальные средства разработки ПО\nДата: 20.11,1
Лабораторные №2 и №4:\nДата : 12.01\nалгоритмы и структуры,1
перенос лабораторная по дискретка дм на завтра,0
завтра в 15:00 будет запись на сдачу типовики по алгоритмы и структуры,0
Лабораторные №4 и №5 - основы проги - дата : 27.10 (досдача),1
Отмена лаб. работа по АСД в это воскресенье,0
На следующей неделе  запись откроется на пересдачу типовики по аглосы (АСД),0
Типовик №2:\nОсновы программирования\nДата: 18.10 (основной период),1
Лабораторные №2 по дисциплине ИСРПО | дата : 18.09 (основной период),1
Лабораторная работа №4 и №5:\nИСРПО\nДата - 27.10,1
Типовые расчёты №3\nДата: 19.11 (досрок),1
Защита Коллок №3:\nИнструментальные средства разработки ПО\nДата - 23.4 (досдача),1
Досдача Коллок. - Алгоритмы и структуры данных - дата : 7.10,1
Завтра в 10:00 начнётся запись на сдачу лабораторная работа по АСД,0
Коллоквиум №1 по Алгоритмы и структуры данных: дата : 28.2,1
Лабораторная №1:\nдискретка\nДата : 18.11,1
переносится лабораторная работа по Инструментальные средства разработки ПО на 20.10,0
Типовой расчет №2:\nоп\nДата — 06.02,1
На следующей неделе в 15:00 откроется запись на пересдачу лаба по дискретная мат.,0
Досдача Коллок. №3 и №4 по основы проги — дата - 19.03 (основной период),1
Типовик №1:\nДата — 04.01 (основной период)\nДМ,1
перенос лабораторные по Инструментальные средства разработки ПО на завтра,0
Лаба №3:\nинстр. средства разработки ПО\nдата - 11.01 (основной период),1
переносится лабораторные по инстр. средства разработки ПО на 20.10,0
Лаб. работа №1:\nДискретная математика\nДата: 23.04 (досрок),1
Типовики №1 ОП | дата — 13.05 (досрок),1
Типовик:\nОП\nдата: 09.03,1
переносится лаб. работа по дискретная на завтра,0
Типовые расчёты\nДата - 24.10 (досдача)\nДМ,1
Лабораторная №1:\nДата - 17.10\nинстр. средства разработки ПО,1
Лабораторные №4 инстр. средства разработки ПО | дата — 2.2,1
Типовые расчёты №3:\nинстр. средства разработки ПО\nДата : 26.02 (досрок),1
Лабораторная работа:\nИСРПО\nдата - 13.10,1
Коллок. №3 АСД | дата: 07.11,1
переносится лабораторная работа по АиСД на 20.10,0
Досдача Лабораторные:\nАиСД\nдата : 6.12 (досрок),1
Завтра в 15:00 откроется запись на защиту лаба по аглосы,0
сегодня в 10:00 запись откроется коллок. по оп,0
Отмена лаба по Алгоритмы и структуры данных сегодня,0
Типовой расчет №2:\nАлгоритмы и структуры данных\nДата : 21.12 (досдача),1
перенос по расписанию типовики по алгоритмы и структуры на 03.11,0
перенос коллок. по дискретка на 03.11,0
Досдача Коллоквиум №1:\nДата: 09.12,1
Завтра  откроется запись лабораторная по Основы программирования,0
завтра  начнётся запись коллок по инстр. средства разработки по,0
Типовики - Инструментальные средства разработки ПО: дата: 21.09 (досрок),1
Типовые расчёты:\nДата - 11.12 (досрок)\nИнструментальные средства разработки ПО,1
Типовики №4 - АиСД - дата : 16.3 (основной период),1
Коллок. №3:\nДата — 09.12\nоп,1
Лаб. работа №2 и №4:\nДата : 16.09\nИнструментальные средства разработки ПО,1
Лабораторная работа №2 по Алгоритмы и структуры данных | дата: 5.1,1
Лабораторные №2:\nДата: 18.12 (досрок)\nДМ,1
Сегодня в 15:00 начнётся запись на сдачу лабораторная по инстр. средства разработки ПО,0
На следующей неделе в 10:00 откроется запись на сдачу лабораторная работа по АиСД,0
Лабораторная №1:\nДата : 17.03 (досдача),1
Лаба №4 по аглосы | дата - 18.12 (досрок),1
Отмена типовик по дискретка ДМ в это воскресенье,0
Коллок №1:\nдискретная\nДата: 13.11,1
Типовик:\nДата : 9.3 (основной период)\nинстр. средства разработки ПО,1
Типовики №4 и №6\nДМ\nДата: 18.09,1
Завтра в 10:00 начнётся запись на сдачу типовик по основы проги,0
Типовики:\nдискретка ДМ\nДата — 12.3,1
Типовик №2:\nИСРПО\nДата - 23.05,1
Досдача Типовые расчеты №1:\nОсновы программирования\nДата : 02.03 (основной период),1
Досдача Лабораторные №4 и №5:\nаглосы (АСД)\nДата — 26.12,1
Защита Типовые расчеты:\nДата - 26.01\nИСРПО,1
Запись на сдачу будет завтра,0
Коллок.\nДата : 28.1 (основной период)\nдискретная,1
Завтра в 15:00 будет запись лабораторные по инстр. средства разработки ПО,0
Лаба:\nдата: 18.04 (досрок)\nдискретка ДМ,1
перенос лаб. работа по асд на завтра,0
Лаб. работа по дисциплине Дискретная математика — дата : 1.12,1
Типовой расчёт №1:\nДата — 25.10\nАиСД,1
Лабораторная работа\nдата - 9.2\nОП,1
Лабораторная №4:\nосновы проги\nДата - 9.9,1
Коллоквиум №3\nДата - 10.11 (досдача),1
перенос по расписанию типовой расчёт по асд на след. неделю,0
Досдача Лаб. работа №2 - Инструментальные средства разработки ПО | дата : 13.03,1
перенос по расписанию лаба по ИСРПО на 22.10,0
На следующей неделе в 9:00 начнётся запись на защиту лаб. работа по Основы программирования,0
отмена лабораторные по исрпо в это воскресенье,0
Завтра в 15:00 будет запись на пересдачу лаба по оп,0
Лаба №4:\nоп\nДата — 25.02 (досдача),1
Лабораторные - алгоритмы и структуры - дата — 16.01,1
Лаба №1 ИСРПО — дата — 12.04,1
Отмена лаб. работа по дискретка 20.10,0
Отмена лаб. работа по Дискретная математика сегодня,0
Отмена лабораторная работа по ОП 20.10,0
Защита Типовой расчет:\nаглосы\nДата — 13.03 (основной период),1
Лаба №4:\nоп\nДата : 14.5 (основной период),1
Типовые расчёты №1 по дисциплине Основы программирования: дата : 23.05 (досдача),1
Типовой расчет:\nОП\nДата — 9.1 (досрок),1
Досдача Лабораторная работа:\nДискретная математика\nДата : 06.10 (досдача),1
Защита Коллок.\nдата : 20.10 (досрок),1
переносится типовики по дискретка ДМ на 22.10,0
Сегодня в 15:00 откроется запись на сдачу лабораторные по дискретная,0
Лаб. работа:\nОП\nДата — 15.9,1
Досдача Типовик №3 и №4:\nОП\nДата : 28.03 (основной период),1
Сегодня в 9:00 начнётся запись лаба по Инструментальные средства разработки ПО,0
Типовые расчеты №4 Дискретная математика: дата — 22.2,1
отмена коллок. по дискретка дм в это воскресенье,0
Завтра в 9:00 запись откроется на сдачу лаб. работа по алгоритмы и структуры,0
Типовые расчеты №4:\nДата: 22.10,1
Лабораторная работа №1:\nДата — 17.03\nдискретка ДМ,1
Лабораторная №2:\nисрпо\nДата : 11.10 (основной период),1
Коллок №1 по дисциплине дискретная — дата — 22.11 (досрок),1
Коллок:\nДата - 24.10 (досдача)\nОП,1
Лабораторная:\nдата — 7.9 (досрок),1
переносится лабораторная по оп на 20.10,0
Защита Коллок. №2 по АСД — дата - 11.11 (досдача),1
Лабораторные №3\nаглосы\nДата : 26.02,1
Отмена лабораторная по исрпо сегодня,0
Завтра  запись откроется на защиту лабораторные по ОП,0
На следующей неделе в 15:00 будет запись на сдачу лаб. работа по ОП,0
Отмена типовые расчеты по дискретная мат. 20.10,0
Лаба №3:\nинстр. средства разработки ПО\nДата — 26.10,1
отмена лаб. работа по аисд сегодня,0
Лабораторная работа:\nДата - 09.11 (основной период)\nАлгоритмы и структуры данных,1
Типовой расчет ДМ: дата : 19.01 (досрок),1
Отмена лаба по оп в это воскресенье,0
Коллок - Основы программирования: дата: 16.1 (досдача),1
Лаб. работа:\nдата: 12.10\nАлгоритмы и структуры данных,1
завтра в 15:00 откроется запись на сдачу типовик по асд,0
Досдача Коллок. №3 - ОП: дата : 01.01,1
переносится лабораторные по инстр. средства разработки ПО на след. неделю,0
На следующей неделе в 9:00 запись откроется на пересдачу типовик по дискретная мат.,0
Лабораторная №2 и №3 дискретная мат. | дата — 17.12,1
Коллок. №2:\nдискретная\nДата : 2.5 (досдача),1
Коллок №3:\nДата: 17.1 (досдача)\nдискретка ДМ,1
перенос по расписанию лабораторные по основы программирования на след. неделю,0
Типовые расчеты №1:\nДата: 01.12 (основной период),1
Лаб. работа:\nАлгоритмы и структуры данных\nДата : 4.12,1
Досдача Лаб. работа:\nдата: 13.02\nАиСД,1
Коллок №4:\nДМ\nДата — 10.11,1
перенос по расписанию лабораторная по ДМ на 20.10,0
Отмена типовые расчеты по Основы программирования сегодня,0
отмена коллок по инструментальные средства разработки по сегодня,0
сегодня в 15:00 начнётся запись на защиту коллок. по аглосы,0
Защита Коллок:\nДата : 12.10\nисрпо,1
перенос коллок. по инструментальные средства разработки по на завтра,0
Завтра в 10:00 начнётся запись на сдачу коллоквиум по Дискретная математика,0
Лабораторная работа №4:\nДата: 10.2 (досрок),1
перенос по расписанию лабораторная работа по аисд на завтра,0
Лаб. работа №1 - Алгоритмы и структуры данных — дата - 17.11,1
Отмена типовик по оп сегодня,0
Лабораторная по дисциплине ОП: дата — 24.12 (досдача),1
Типовые расчёты:\nДата: 06.04 (основной период),1
Досдача Типовой расчет:\nДата - 21.10\nАиСД,1
Завтра в 9:00 начнётся запись на сдачу лаб. работа по исрпо,0
Типовые расчёты №4:\nдата - 3.3\nисрпо,1
Типовики №1:\nДата: 22.02\nаглосы,1
завтра в 10:00 запись откроется лабораторная работа по аисд,0
Лаб. работа №2:\nоп\nдата - 12.12,1
Коллоквиум №4 по дисциплине Инструментальные средства разработки ПО: дата - 5.3 (досдача),1
Завтра в 10:00 начнётся запись на пересдачу лаб. работа по дискретная мат.,0
Коллок:\nалгоритмы и структуры\nДата : 17.10,1
Лабораторные №4:\nдата - 5.5,1
Защита Коллок №4:\nИСРПО\nДата: 15.05,1
переносится коллок. по ИСРПО на 03.11,0
Типовики №1:\nОП\nдата : 26.09 (досрок),1
Отмена типовые расчеты по АСД сегодня,0
Завтра в 9:00 начнётся запись на пересдачу лаба по ДМ,0
Сегодня  будет запись на защиту типовой расчёт по аглосы,0
отмена лаба по дискретка 20.10,0
Досдача Лабораторная:\nДата — 15.11\nаглосы (АСД),1
Коллок №4 ОП - дата: 18.09,1
перенос по расписанию лабораторная работа по дискретка на завтра,0
Лаба:\nДата — 25.10,1
Лаба:\nДата : 11.10\nОсновы программирования,1
перенос по расписанию коллок. по аглосы на 22.10,0
переносится типовые расчеты по ИСРПО на 22.10,0
Лаб. работа Алгоритмы и структуры данных - дата: 13.12 (досрок),1
переносится лаба по основы проги на 03.11,0
Коллок по Алгоритмы и структуры данных: дата - 9.9,1
перенос лабораторная работа по инструментальные средства разработки по на след. неделю,0
Лабораторная работа №4 и №6:\nДата — 18.02 (досдача)\nалгоритмы и структуры,1
Лаба №1:\nОП\nДата: 22.3 (досрок),1
Коллок №2:\nдискретная\nдата - 26.03 (досрок),1
Защита Коллоквиум №3:\nАлгоритмы и структуры данных\nДата : 22.11,1
перенос лабораторная работа по дискретка на завтра,0
Защита Лабораторная работа - Дискретная математика — дата : 15.2,1
переносится лабораторная по алгоритмы и структуры на 03.11,0
Типовой расчёт №3 и №5:\nДата - 11.2 (основной период)\nИСРПО,1
переносится лабораторная работа по асд на 20.10,0
Сегодня в 15:00 запись откроется на пересдачу лабораторные по ОП,0
сегодня в 9:00 начнётся запись на сдачу лаба по асд,0
перенос лаба по асд на завтра,0
перенос по расписанию лабораторная по Основы программирования на 20.10,0
Отмена лаб. работа по алгоритмы и структуры сегодня,0
Завтра  откроется запись лаб. работа по Инструментальные средства разработки ПО,0
переносится типовой расчёт по основы программирования на след. неделю,0
Защита Типовые расчеты №3:\nДата : 5.3 (досрок)\nдискретка ДМ,1
На следующей неделе в 10:00 запись откроется на сдачу коллоквиум по Основы программирования,0
Досдача Лаба:\nаглосы (АСД)\nдата - 19.01,1
Лабораторная работа №1:\nалгоритмы и структуры\nДата — 01.05,1
На следующей неделе в 10:00 откроется запись на защиту типовик по алгоритмы и структуры,0
отмена лабораторная работа по алгоритмы и структуры 20.10,0
переносится лаба по дискретка ДМ на след. неделю,0
Сегодня  откроется запись на пересдачу лаба по ИСРПО,0
Завтра в 9:00 откроется запись на пересдачу лабораторная по инстр. средства разработки ПО,0
Коллок. №2:\nДата - 12.05 (досрок)\nАиСД,1
Лабораторная №4 по дисциплине оп - дата : 8.1,1
Лаба №4:\nосновы проги\nДата — 19.2 (досрок),1
Отмена типовик по АСД 20.10,0
Лаб. работа №4 Основы программирования: дата — 07.10,1
На следующей неделе  запись откроется на пересдачу коллок. по Основы программирования,0
Досдача Лабораторная работа №4 и №6 по дисциплине оп | дата — 15.02 (досрок),1
перенос по расписанию типовики по Инструментальные средства разработки ПО на завтра,0
Лабораторная работа по дисциплине дискретная: дата — 10.01,1
перенос типовой расчет по ОП на 22.10,0
Сегодня  запись откроется коллоквиум по Алгоритмы и структуры данных,0
отмена типовые расчеты по исрпо 20.10,0
Отмена типовой расчёт по аглосы (АСД) в это воскресенье,0
перенос по расписанию коллоквиум по исрпо на завтра,0
Лаб. работа №3\nинстр. средства разработки ПО\nДата — 26.1 (основной период),1
На следующей неделе  начнётся запись на сдачу лабораторная работа по ИСРПО,0
Отмена лаба по дискретка ДМ в это воскресенье,0
Сегодня в 10:00 откроется запись на защиту лабораторная по АСД,0
Лабораторная №3 по дисциплине Дискретная математика — дата: 07.10 (досрок),1
Сегодня в 15:00 начнётся запись на сдачу лабораторная по алгоритмы и структуры,0
Лаб. работа №4 - ОП - дата : 18.3,1
Досдача Лаб. работа:\nДата - 6.5\nОсновы программирования,1
Коллок №4:\nдискретка ДМ\nдата : 6.3 (основной период),1
Отмена типовые расчеты по дискретка 20.10,0
завтра  откроется запись на сдачу лабораторная по дм,0
На следующей неделе  откроется запись на защиту лабораторная по аглосы,0
На следующей неделе в 15:00 начнётся запись на пересдачу лаба по исрпо,0
перенос по расписанию коллоквиум по Инструментальные средства разработки ПО на 20.10,0
Досдача Типовой расчет:\nДата : 6.3,1
Отмена лабораторная работа по дискретная в это воскресенье,0
Лабораторные:\nИСРПО\nДата: 13.3,1
Типовой расчет №2:\nИСРПО\nдата : 14.10 (основной период),1
переносится типовик по инстр. средства разработки ПО на 20.10,0
Отмена типовые расчёты по основы проги в это воскресенье,0
сегодня  будет запись на пересдачу лаб. работа по дискретная математика,0
Типовые расчеты №2 и №4:\nИСРПО\nдата - 05.12,1
Завтра в 15:00 запись откроется на пересдачу типовик по инстр. средства разработки ПО,0
Лабораторная по инстр. средства разработки ПО — дата — 03.11 (основной период),1
Лаба ОП | дата: 21.1 (досдача),1
на следующей неделе в 10:00 будет запись лабораторная работа по дискретная,0
Лабораторная №3:\nДата — 14.12 (основной период),1
Коллок №4 и №6:\nДата : 06.05\nаглосы,1
Лабораторные:\nДата : 06.04,1
Сегодня  запись откроется на сдачу лабораторные по аглосы (АСД),0
Лабораторная работа:\nдата: 3.11 (основной период),1
завтра в 10:00 начнётся запись на сдачу лаба по дискретка дм,0
Досдача Лабораторные №1:\nдискретная\nДата : 4.12 (основной период),1
Завтра  начнётся запись на сдачу лабораторная работа по оп,0
Типовик №2:\nДМ\nДата — 19.01,1
Коллок. №3 по дисциплине основы проги | дата — 14.02,1
На следующей неделе в 15:00 откроется запись лаба по ДМ,0
Отмена лабораторная работа по аглосы в это воскресенье,0
Досдача Лаб. работа №4:\nдискретка\nдата: 18.09 (основной период),1
завтра в 10:00 запись откроется на защиту типовые расчеты по дискретка дм,0
Отмена лаб. работа по оп сегодня,0
Сегодня в 15:00 начнётся запись на защиту коллок. по инстр. средства разработки ПО,0
Отмена коллоквиум по исрпо 20.10,0
Отмена коллок. по АиСД сегодня,0
Досдача Лабораторная работа №4 и №5 - ОП: дата - 20.1,1
переносится коллок по исрпо на завтра,0
Досдача Типовики №1 инстр. средства разработки ПО - дата — 5.4 (досрок),1
Досдача Лаб. работа:\nДата : 1.12\nосновы проги,1
Досдача Лабораторные - аглосы (АСД) — дата: 15.12,1
переносится лабораторные по Инструментальные средства разработки ПО на 03.11,0
Сегодня в 15:00 запись откроется на сдачу коллок по Дискретная математика,0
